Age,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,657766,669100.0,663776.0,659482.0,656415.0,654707.0,654370.0,655314.0,657382.0,660359.0,663986.0,667951.0,671974.0,675801.0,679199.0,681943.0,683826.0,684676.0,684398.0,682912.0,680202.0,676278.0,671224.0,665179.0,658343.0,650919.0,643139.0,635253.0,627514.0,620129.0,613276.0,607103.0,601712.0,597164.0,593465.0,590612.0,588576.0,587296.0,586668.0,586604.0,586986.0,587686.0,588565.0,589501.0,590362.0,591035.0,591413.0,591407.0,590946.0,589969.0,588446.0,586358.0,583724.0,580571.0,576950.0,572941.0,568612.0,564064.0,559401.0,554715.0,550106.0,545659.0,541461.0,537567.0,534037.0,530899.0,528170.0,525851.0,523926.0,522366.0,521129.0,520165.0,519410.0,518798.0,518276.0,517769.0,517209.0,516545.0,515729.0,514716.0
1,667127,655530.0,666825.0,661519.0,657240.0,654183.0,652481.0,652145.0,653086.0,655147.0,658114.0,661728.0,665680.0,669689.0,673503.0,676890.0,679624.0,681501.0,682348.0,682071.0,680590.0,677889.0,673979.0,668942.0,662917.0,656105.0,648706.0,640952.0,633093.0,625380.0,618021.0,611191.0,605039.0,599666.0,595134.0,591447.0,588604.0,586575.0,585299.0,584673.0,584610.0,584990.0,585688.0,586564.0,587497.0,588355.0,589025.0,589402.0,589396.0,588937.0,587963.0,586445.0,584364.0,581739.0,578597.0,574988.0,570993.0,566679.0,562146.0,557499.0,552829.0,548236.0,543804.0,539620.0,535739.0,532221.0,529094.0,526374.0,524063.0,522145.0,520590.0,519357.0,518396.0,517644.0,517034.0,516514.0,516009.0,515450.0,514789.0,513976.0
2,682156,666960.0,655365.0,666658.0,661353.0,657075.0,654019.0,652317.0,651981.0,652922.0,654983.0,657949.0,661562.0,665513.0,669521.0,673334.0,676720.0,679453.0,681330.0,682177.0,681900.0,680419.0,677719.0,673810.0,668774.0,662751.0,655940.0,648543.0,640791.0,632934.0,625223.0,617866.0,611038.0,604887.0,599516.0,594985.0,591299.0,588456.0,586428.0,585152.0,584526.0,584463.0,584843.0,585541.0,586417.0,587350.0,588207.0,588877.0,589254.0,589248.0,588789.0,587815.0,586298.0,584217.0,581593.0,578452.0,574844.0,570850.0,566537.0,562005.0,557359.0,552690.0,548098.0,543668.0,539485.0,535605.0,532087.0,528961.0,526242.0,523931.0,522014.0,520459.0,519227.0,518266.0,517514.0,516904.0,516384.0,515880.0,515321.0,514660.0
3,692802,681985.0,666793.0,655201.0,666491.0,661187.0,656910.0,653855.0,652153.0,651817.0,652758.0,654819.0,657784.0,661396.0,665346.0,669353.0,673165.0,676550.0,679282.0,681159.0,682006.0,681729.0,680248.0,677549.0,673641.0,668606.0,662585.0,655775.0,648380.0,640630.0,632775.0,625066.0,617711.0,610885.0,604735.0,599366.0,594836.0,591151.0,588308.0,586281.0,585005.0,584379.0,584316.0,584696.0,585394.0,586270.0,587203.0,588059.0,588729.0,589106.0,589100.0,588641.0,587667.0,586151.0,584070.0,581447.0,578307.0,574700.0,570707.0,566395.0,561864.0,557219.0,552551.0,547960.0,543532.0,539350.0,535471.0,531953.0,528828.0,526110.0,523800.0,521883.0,520328.0,519097.0,518136.0,517384.0,516774.0,516254.0,515751.0,515192.0
4,708058,692628.0,681814.0,666626.0,655037.0,666324.0,661021.0,656745.0,653691.0,651989.0,651653.0,652594.0,654655.0,657619.0,661230.0,665179.0,669185.0,672996.0,676380.0,679112.0,680988.0,681835.0,681558.0,680077.0,677379.0,673472.0,668438.0,662419.0,655610.0,648217.0,640469.0,632616.0,624909.0,617556.0,610732.0,604583.0,599216.0,594687.0,591003.0,588160.0,586134.0,584858.0,584232.0,584169.0,584549.0,585247.0,586123.0,587056.0,587911.0,588581.0,588958.0,588952.0,588493.0,587520.0,586004.0,583923.0,581301.0,578162.0,574556.0,570564.0,566253.0,561723.0,557079.0,552412.0,547822.0,543396.0,539215.0,535337.0,531820.0,528695.0,525978.0,523669.0,521752.0,520197.0,518967.0,518006.0,517254.0,516644.0,516124.0,515622.0
5,726410,707880.0,692454.0,681643.0,666459.0,654873.0,666157.0,660855.0,656580.0,653527.0,651825.0,651489.0,652430.0,654491.0,657454.0,661064.0,665012.0,669017.0,672827.0,676210.0,678942.0,680817.0,681664.0,681387.0,679906.0,677209.0,673303.0,668270.0,662253.0,655445.0,648054.0,640308.0,632457.0,624752.0,617401.0,610579.0,604431.0,599066.0,594538.0,590855.0,588012.0,585987.0,584711.0,584085.0,584022.0,584402.0,585100.0,585976.0,586909.0,587763.0,588433.0,588810.0,588804.0,588345.0,587373.0,585857.0,583776.0,581155.0,578017.0,574412.0,570421.0,566111.0,561582.0,556939.0,552273.0,547685.0,543260.0,539080.0,535203.0,531687.0,528562.0,525846.0,523538.0,521621.0,520066.0,518837.0,517876.0,517124.0,516514.0,515994.0
6,748450,726352.0,707823.0,692399.0,681588.0,666406.0,654821.0,666104.0,660802.0,656527.0,653475.0,651773.0,651437.0,652378.0,654439.0,657401.0,661011.0,664959.0,668963.0,672773.0,676156.0,678888.0,680763.0,681609.0,681332.0,679852.0,677155.0,673249.0,668217.0,662200.0,655393.0,648002.0,640257.0,632406.0,624702.0,617352.0,610530.0,604383.0,599018.0,594490.0,590808.0,587965.0,585940.0,584664.0,584038.0,583975.0,584355.0,585053.0,585929.0,586862.0,587716.0,588386.0,588763.0,588757.0,588298.0,587326.0,585810.0,583729.0,581109.0,577971.0,574366.0,570375.0,566066.0,561537.0,556894.0,552229.0,547641.0,543217.0,539037.0,535160.0,531644.0,528520.0,525804.0,523496.0,521579.0,520024.0,518795.0,517835.0,517083.0,516473.0
7,764158,748390.0,726294.0,707766.0,692344.0,681533.0,666353.0,654769.0,666051.0,660749.0,656474.0,653423.0,651721.0,651385.0,652326.0,654387.0,657348.0,660958.0,664906.0,668909.0,672719.0,676102.0,678834.0,680709.0,681554.0,681277.0,679798.0,677101.0,673195.0,668164.0,662147.0,655341.0,647950.0,640206.0,632355.0,624652.0,617303.0,610481.0,604335.0,598970.0,594442.0,590761.0,587918.0,585893.0,584617.0,583991.0,583928.0,584308.0,585006.0,585882.0,586815.0,587669.0,588339.0,588716.0,588710.0,588251.0,587279.0,585763.0,583682.0,581063.0,577925.0,574320.0,570329.0,566021.0,561492.0,556849.0,552185.0,547597.0,543174.0,538994.0,535117.0,531601.0,528478.0,525762.0,523454.0,521537.0,519982.0,518753.0,517794.0,517042.0
8,774960,764097.0,748330.0,726236.0,707709.0,692289.0,681478.0,666300.0,654717.0,665998.0,660696.0,656421.0,653371.0,651669.0,651333.0,652274.0,654335.0,657295.0,660905.0,664853.0,668855.0,672665.0,676048.0,678780.0,680655.0,681499.0,681222.0,679744.0,677047.0,673141.0,668111.0,662094.0,655289.0,647898.0,640155.0,632304.0,624602.0,617254.0,610432.0,604287.0,598922.0,594394.0,590714.0,587871.0,585846.0,584570.0,583944.0,583881.0,584261.0,584959.0,585835.0,586768.0,587622.0,588292.0,588669.0,588663.0,588204.0,587232.0,585716.0,583635.0,581017.0,577879.0,574274.0,570283.0,565976.0,561447.0,556804.0,552141.0,547553.0,543131.0,538951.0,535074.0,531558.0,528436.0,525720.0,523412.0,521495.0,519940.0,518711.0,517753.0
9,787499,774898.0,764036.0,748270.0,726178.0,707652.0,692234.0,681423.0,666247.0,654665.0,665945.0,660643.0,656368.0,653319.0,651617.0,651281.0,652222.0,654283.0,657242.0,660852.0,664800.0,668801.0,672611.0,675994.0,678726.0,680601.0,681444.0,681167.0,679690.0,676993.0,673087.0,668058.0,662041.0,655237.0,647846.0,640104.0,632253.0,624552.0,617205.0,610383.0,604239.0,598874.0,594346.0,590667.0,587824.0,585799.0,584523.0,583897.0,583834.0,584214.0,584912.0,585788.0,586721.0,587575.0,588245.0,588622.0,588616.0,588157.0,587185.0,585669.0,583588.0,580971.0,577833.0,574228.0,570237.0,565931.0,561402.0,556759.0,552097.0,547509.0,543088.0,538908.0,535031.0,531515.0,528394.0,525678.0,523370.0,521453.0,519898.0,518669.0
