bins,low_val,high_val,bin_values_2021,bin_values_2022,bin_values_2023,bin_values_2024,bin_values_2025,bin_values_2026,bin_values_2027,bin_values_2028,bin_values_2029,bin_values_2030,bin_values_2031,bin_values_2032,bin_values_2033,bin_values_2034,bin_values_2035,bin_values_2036,bin_values_2037,bin_values_2038,bin_values_2039,bin_values_2040,bin_values_2041,bin_values_2042,bin_values_2043,bin_values_2044,bin_values_2045,bin_values_2046,bin_values_2047,bin_values_2048,bin_values_2049,bin_values_2050,bin_values_2051,bin_values_2052,bin_values_2053,bin_values_2054,bin_values_2055,bin_values_2056,bin_values_2057,bin_values_2058,bin_values_2059,bin_values_2060,bin_values_2061,bin_values_2062,bin_values_2063,bin_values_2064,bin_values_2065,bin_values_2066,bin_values_2067,bin_values_2068,bin_values_2069,bin_values_2070,bin_values_2071,bin_values_2072,bin_values_2073,bin_values_2074,bin_values_2075,bin_values_2076,bin_values_2077,bin_values_2078,bin_values_2079,bin_values_2080,bin_values_2081,bin_values_2082,bin_values_2083,bin_values_2084,bin_values_2085,bin_values_2086,bin_values_2087,bin_values_2088,bin_values_2089,bin_values_2090,bin_values_2091,bin_values_2092,bin_values_2093,bin_values_2094,bin_values_2095,bin_values_2096,bin_values_2097,bin_values_2098,bin_values_2099,bin_values_2100,bin_values_2101,bin_values_2102,bin_values_2103,bin_values_2104,bin_values_2105,bin_values_2106,bin_values_2107,bin_values_2108,bin_values_2109,bin_values_2110,bin_values_2111,bin_values_2112,bin_values_2113,bin_values_2114,bin_values_2115,bin_values_2116,bin_values_2117,bin_values_2118,bin_values_2119,bin_values_2120,bin_values_2121,bin_values_2122,bin_values_2123,bin_values_2124,bin_values_2125,bin_values_2126,bin_values_2127,bin_values_2128,bin_values_2129,bin_values_2130,bin_values_2131,bin_values_2132,bin_values_2133,bin_values_2134,bin_values_2135,bin_values_2136,bin_values_2137,bin_values_2138,bin_values_2139,bin_values_2140,bin_values_2141,bin_values_2142,bin_values_2143,bin_values_2144,bin_values_2145,bin_values_2146,bin_values_2147,bin_values_2148,bin_values_2149,bin_values_2150,bin_values_2151,bin_values_2152,bin_values_2153,bin_values_2154,bin_values_2155,bin_values_2156,bin_values_2157,bin_values_2158,bin_values_2159,bin_values_2160,bin_values_2161,bin_values_2162,bin_values_2163,bin_values_2164,bin_values_2165,bin_values_2166,bin_values_2167,bin_values_2168,bin_values_2169,bin_values_2170,bin_values_2171,bin_values_2172,bin_values_2173,bin_values_2174,bin_values_2175,bin_values_2176,bin_values_2177,bin_values_2178,bin_values_2179,bin_values_2180,bin_values_2181,bin_values_2182,bin_values_2183,bin_values_2184,bin_values_2185,bin_values_2186,bin_values_2187,bin_values_2188,bin_values_2189,bin_values_2190,bin_values_2191,bin_values_2192,bin_values_2193,bin_values_2194,bin_values_2195,bin_values_2196,bin_values_2197,bin_values_2198,bin_values_2199
0-9,0,9,165.297938,158.050128,150.117387,141.996023,133.857179,125.547942,116.42331,108.353742,101.859388,96.707483,93.212757,89.543323,86.200886,83.185657,80.485272,78.073546,75.913066,73.963019,72.176289,70.50131,68.885477,67.276556,65.626385,63.892362,62.041525,60.055797,57.93237,55.675469,53.299222,50.825625,48.283399,45.708461,43.136261,40.601233,38.134396,35.762021,33.504476,31.376255,29.386298,27.538453,25.832056,24.262631,22.823031,21.504255,20.295898,19.186435,18.163752,17.21576,16.331086,15.499214,14.710707,13.95754,13.233232,12.532897,11.853113,11.191782,10.547947,9.92156,9.313113,8.723531,8.154092,7.606212,7.081431,6.581112,6.106379,5.658047,5.236594,4.84214,4.47445,4.132948,3.816775,3.524816,3.255762,3.008164,2.780473,2.571122,2.378537,2.201193,2.037648,1.886554,1.746683,1.616932,1.496334,1.384032,1.279297,1.181506,1.090127,1.004713,0.924882,0.850318,0.78074,0.715899,0.655564,0.599542,0.547622,0.499607,0.455307,0.414523,0.377061,0.342721,0.311305,0.282614,0.25646,0.232647,0.210984,0.191304,0.173431,0.157207,0.142478,0.129115,0.116978,0.105961,0.095957,0.086868,0.078601,0.07109,0.064255,0.05804,0.052391,0.047251,0.042574,0.038326,0.034472,0.03098,0.02781,0.024941,0.022351,0.02001,0.017902,0.016002,0.014286,0.012747,0.011368,0.010133,0.009027,0.008039,0.007155,0.006365,0.00566,0.005028,0.004467,0.003965,0.003522,0.003123,0.002771,0.002456,0.002174,0.001925,0.001705,0.001506,0.001331,0.001176,0.001039,0.000916,0.000807,0.000712,0.000627,0.000552,0.000486,0.000426,0.000373,0.000327,0.000287,0.000252,0.000218,0.00019,0.000165,0.000143,0.000124,0.000107,9.3e-05,8.1e-05,7e-05,6.1e-05,5.2e-05,4.5e-05,3.9e-05,3.3e-05,2.8e-05
10-19,10,19,166.138223,168.220396,170.587959,172.569575,173.893881,174.755264,175.756529,174.96106,171.919144,167.216797,160.778952,153.72887,146.013362,138.113199,130.195363,122.111416,113.234246,105.383781,99.066055,94.054494,90.65527,87.085828,83.834399,80.901226,78.274316,75.92826,73.826717,71.929987,70.192264,68.563405,66.992228,65.427937,63.823653,62.137922,60.338631,58.408157,56.343728,54.149409,51.83891,49.433619,46.961446,44.457344,41.955788,39.490291,37.091041,34.783602,32.587806,30.517751,28.582159,26.78477,25.124951,23.598366,22.198059,20.915287,19.739931,18.660793,17.666084,16.744044,15.883608,15.074547,14.30768,13.575196,12.870787,12.18969,11.528586,10.88543,10.259278,9.650102,9.058354,8.484949,7.931127,7.398263,6.88786,6.401242,5.939498,5.503429,5.093502,4.709832,4.352192,4.02002,3.712482,3.428499,3.166794,2.925957,2.704487,2.500852,2.313528,2.141032,1.981957,1.834995,1.698947,1.572744,1.455445,1.346213,1.244343,1.149231,1.060349,0.977272,0.899629,0.827103,0.759424,0.696357,0.637673,0.583182,0.53268,0.485975,0.442883,0.40321,0.366772,0.333367,0.302813,0.274905,0.249462,0.226293,0.205229,0.186082,0.168698,0.152918,0.138593,0.125592,0.11379,0.103073,0.093339,0.0845,0.07646,0.06915,0.062503,0.056454,0.050952,0.045953,0.041404,0.037276,0.033529,0.03013,0.027049,0.024262,0.021746,0.019474,0.017429,0.015586,0.013921,0.012424,0.011085,0.00988,0.008802,0.007836,0.006975,0.006207,0.005518,0.0049,0.004355,0.003867,0.003432,0.003044,0.0027,0.002394,0.002119,0.001876,0.001661,0.001467,0.001299,0.001149,0.001011,0.000893,0.000788,0.000694,0.000611,0.000537,0.000474,0.000416,0.000364,0.000318,0.000278,0.000243,0.000213,0.000185,0.000161,0.00014,0.000122
20-29,20,29,174.028867,168.916162,164.933682,161.843292,159.598741,158.198401,157.71488,158.141102,159.296467,160.304577,161.254911,163.278254,165.576802,167.498459,168.780152,169.61133,170.579811,169.801832,166.84036,162.264119,155.999179,149.146041,141.649601,133.975408,126.286519,118.441629,109.838916,102.233816,96.112988,91.256158,87.956738,84.49472,81.341403,78.496946,75.949642,73.674764,71.636948,69.797608,68.112233,66.532141,65.00765,63.48945,61.932081,60.29536,58.548225,56.673642,54.668986,52.538297,50.29497,47.959834,45.560048,43.129549,40.701793,38.309294,35.981303,33.742587,31.612348,29.604231,27.726646,25.983212,24.373279,22.892609,21.534455,20.290307,19.150332,18.103657,17.138833,16.24445,15.409773,14.624886,13.88088,13.170199,12.486719,11.825843,11.184347,10.560259,9.952672,9.361553,8.787354,8.230975,7.693605,7.176588,6.681381,6.209271,5.761311,5.338275,4.940612,4.568434,4.221517,3.899308,3.601006,3.325554,3.071712,2.838117,2.623304,2.42579,2.244101,2.076787,1.922488,1.779936,1.647972,1.525553,1.411769,1.305811,1.206991,1.114725,1.028505,0.94791,0.872594,0.802239,0.736586,0.675411,0.618485,0.565625,0.516637,0.471333,0.429534,0.391054,0.355711,0.323315,0.293679,0.266622,0.241946,0.219473,0.199045,0.18048,0.163618,0.14831,0.134416,0.121803,0.110357,0.09996,0.090526,0.081957,0.074157,0.067066,0.060618,0.054749,0.04941,0.044558,0.040148,0.036145,0.03251,0.029222,0.026235,0.023533,0.021094,0.018894,0.016911,0.015121,0.013505,0.012057,0.010758,0.009591,0.008547,0.007615,0.00678,0.006037,0.005368,0.004769,0.004237,0.00376,0.003336,0.002959,0.002623,0.002324,0.00206,0.001825,0.001617,0.001431,0.001266,0.001118,0.000988,0.00087,0.000768,0.000676,0.000596,0.000526,0.000461
30-39,30,39,229.977166,227.670503,224.639897,221.627827,217.010663,210.457194,201.867911,192.788301,183.670415,174.0686,166.456349,161.575613,157.773556,154.824993,152.686454,151.355709,150.901857,151.317955,152.430653,153.401765,154.314008,156.252337,158.451748,160.286391,161.505266,162.291719,163.213545,162.457044,159.603384,155.199725,149.17461,142.600483,135.420481,128.077363,120.725349,113.229345,105.016103,97.75618,91.911801,87.272629,84.116904,80.808129,77.794738,75.076764,72.642899,70.469348,68.522144,66.764277,65.153104,63.642031,62.183543,60.730485,59.23943,57.672044,55.998738,54.203366,52.283547,50.243307,48.095574,45.860388,43.563786,41.238244,38.91576,36.627378,34.401019,32.2603,30.223532,28.303701,26.508803,24.842253,23.303389,21.888141,20.590012,19.400848,18.311224,17.310729,16.388409,15.53335,14.735293,13.984764,13.273268,12.593578,11.939864,11.307738,10.69413,10.097171,9.516002,8.950592,8.401386,7.869252,7.355324,6.860884,6.38733,5.935888,5.507567,5.103097,4.722905,4.3671,4.035451,3.72744,3.442289,3.178987,2.93635,2.713064,2.507732,2.318931,2.145256,1.98532,1.83782,1.701544,1.575387,1.458354,1.349573,1.248275,1.153795,1.065585,0.983152,0.9061,0.834095,0.766833,0.704068,0.645582,0.59116,0.540629,0.4938,0.450492,0.410533,0.373756,0.33997,0.309009,0.280686,0.254822,0.231238,0.209757,0.190235,0.172485,0.15637,0.141736,0.128459,0.116404,0.105468,0.095529,0.086514,0.078325,0.07087,0.064094,0.057929,0.052321,0.047216,0.042583,0.038369,0.034543,0.031067,0.027925,0.025069,0.022484,0.020155,0.01805,0.016156,0.01445,0.01291,0.011528,0.010287,0.00917,0.008173,0.007279,0.00648,0.005769,0.005126,0.00455,0.004046,0.003591,0.003189,0.002827,0.002508,0.002224,0.001973,0.001751,0.001557
40-49,40,49,204.141894,200.163274,196.507518,193.19763,192.786103,195.236256,200.237422,205.933272,210.866764,215.740089,217.870617,215.668572,212.776221,209.897694,205.503632,199.282993,191.143535,182.544841,173.914665,164.837339,157.642876,153.026034,149.429335,146.641152,144.620815,143.365518,142.940343,143.33885,144.396649,145.320517,146.186976,148.024705,150.108391,151.844231,152.994835,153.73499,154.605488,153.882466,151.168789,146.984076,141.260118,135.023353,128.217018,121.259202,114.295636,107.199194,99.429772,92.563198,87.034765,82.645297,79.65641,76.524244,73.671896,71.099342,68.795802,66.738667,64.895686,63.231749,61.706431,60.275573,58.894189,57.517598,56.104715,54.619288,53.033369,51.331742,49.512217,47.578692,45.543489,43.425649,41.249883,39.046952,36.847161,34.679893,32.571548,30.54446,28.615934,26.798237,25.098912,23.521159,22.064336,20.724571,19.495699,18.369978,17.338471,16.391316,15.518125,14.708576,13.95295,13.242281,12.568528,11.924869,11.305782,10.707123,10.12599,9.560618,9.010204,8.474722,7.954595,7.450643,6.963946,6.495726,6.047295,5.619821,5.214256,4.831289,4.47132,4.134448,3.820456,3.528849,3.258894,3.009625,2.779922,2.568535,2.37415,2.195414,2.030998,1.879586,1.739946,1.610929,1.491492,1.380689,1.277696,1.181786,1.092333,1.008816,0.930768,0.857811,0.789633,0.725947,0.666522,0.611147,0.559627,0.511786,0.467451,0.426455,0.388622,0.353806,0.321823,0.292514,0.265702,0.24122,0.218892,0.198557,0.180079,0.163277,0.148021,0.134168,0.121598,0.11019,0.099837,0.090429,0.081894,0.074139,0.067083,0.06067,0.054833,0.049522,0.044695,0.040307,0.036316,0.032693,0.029406,0.026429,0.023726,0.021282,0.019077,0.017085,0.01529,0.013675,0.012218,0.01091,0.009735,0.008679,0.007737,0.006892,0.006134,0.005459,0.004848
50-59,50,59,228.61341,235.556056,235.284197,232.537988,228.992423,224.11581,219.042261,212.289623,204.615688,197.637834,191.693642,187.977195,184.561867,181.466493,181.091309,183.402313,188.10765,193.458525,198.089908,202.666903,204.659717,202.575341,199.838337,197.110845,192.964491,187.109655,179.46158,171.387069,163.287465,154.778428,148.036233,143.705879,140.332158,137.717885,135.825347,134.651233,134.25634,134.634742,135.631862,136.503343,137.31936,139.04701,141.004393,142.632885,143.709865,144.400532,145.215619,144.530466,141.971696,138.028617,132.636676,126.769902,120.372252,113.835169,107.295202,100.633737,93.346188,86.906471,81.721039,77.602886,74.795906,71.855944,69.178821,66.764456,64.602664,62.672139,60.94252,59.380784,57.948923,56.605462,55.308138,54.014997,52.687491,51.291615,49.8012,48.202027,46.492106,44.675178,42.762888,40.77317,38.729273,36.660097,34.594103,32.558853,30.579118,28.675828,26.865205,25.158735,23.563469,22.08239,20.714874,19.457269,18.30377,17.2471,16.278849,15.389756,14.57006,13.810065,13.100651,12.433403,11.800781,11.196387,10.615038,10.052855,9.507121,8.976183,8.45929,7.956427,7.467995,6.994764,6.537751,6.0981,5.677048,5.275686,4.894908,4.535359,4.19741,3.881154,3.586391,3.312651,3.059236,2.825243,2.60962,2.411193,2.228723,2.060942,1.906601,1.764468,1.633378,1.512261,1.400136,1.296121,1.199432,1.10939,1.025409,0.947002,0.873733,0.805241,0.741234,0.681447,0.625659,0.573676,0.525307,0.480393,0.438774,0.400289,0.364778,0.332099,0.302074,0.274564,0.249394,0.226415,0.205454,0.186369,0.169023,0.153254,0.138934,0.125932,0.114134,0.103424,0.093711,0.084879,0.076864,0.069584,0.062962,0.056944,0.051466,0.046481,0.041948,0.037829,0.034082,0.030684,0.027597,0.024808,0.022272,0.019975,0.017901,0.016032,0.01435
60-69,60,69,144.414738,144.975739,151.298138,158.858717,164.739101,170.599312,175.185484,181.053672,190.521324,201.305426,211.954681,218.197533,217.917942,215.392927,212.086851,207.527358,202.729812,196.388045,189.249947,182.791512,177.321687,173.931238,170.836405,168.046623,167.768424,169.965407,174.360534,179.314977,183.588441,187.819282,189.646996,187.705758,185.132877,182.517141,178.583558,173.083176,165.95882,158.453824,150.947457,143.14211,136.97831,132.994744,129.887996,127.484368,125.752719,124.686894,124.338882,124.701925,125.63302,126.457007,127.230908,128.840958,130.657364,132.161915,133.149695,133.774362,134.51676,133.863597,131.468061,127.778884,122.728579,117.258478,111.308169,105.230038,99.149469,92.968914,86.256837,80.34093,75.578764,71.793788,69.190116,66.474173,64.001939,61.773077,59.777943,57.996567,56.400553,54.959101,53.636832,52.395246,51.195161,49.997675,48.767136,47.472245,46.089069,44.604697,43.017469,41.331139,39.556769,37.711252,35.816358,33.898928,31.985354,30.101111,28.269028,26.508345,24.83394,23.256308,21.781846,20.4132,19.14971,17.987926,16.922426,15.946407,15.052053,14.23075,13.473442,12.771155,12.11544,11.498533,10.913479,10.354393,9.816509,9.29628,8.79121,8.299803,7.821395,7.355973,6.903934,6.465996,6.043115,5.636354,5.246862,4.875637,4.523505,4.191056,3.878626,3.586296,3.313864,3.060892,2.826727,2.610526,2.411311,2.227992,2.059418,1.90441,1.761818,1.630502,1.50938,1.397465,1.293851,1.197725,1.108365,1.025144,0.947517,0.875039,0.807313,0.744,0.684837,0.629571,0.578006,0.529959,0.485251,0.443746,0.405286,0.369727,0.336914,0.306722,0.278985,0.25357,0.23032,0.209096,0.18974,0.172109,0.156091,0.141526,0.128302,0.116293,0.1054,0.095509,0.086535,0.078379,0.07098,0.064257,0.05814,0.05258,0.047522,0.042918,0.038731
70-79,70,79,80.093239,85.006638,90.350417,95.439117,100.654378,105.15481,109.47496,112.97277,113.706367,112.376427,110.212693,110.662934,116.376136,123.102663,128.355195,133.399074,137.246863,141.985683,149.108458,156.787459,163.997653,167.941364,167.528202,165.457358,162.488293,158.443054,154.085225,148.740196,143.208873,138.50401,134.78227,132.799187,130.997997,129.287938,129.42481,131.398269,135.002494,138.839807,142.061801,145.312266,146.488113,144.533108,141.937007,139.185317,135.554602,130.940765,125.362975,119.652776,114.084386,108.601196,104.326685,101.451975,99.204041,97.496097,96.318282,95.647018,95.51316,95.915998,96.741701,97.492696,98.159014,99.442475,100.845767,101.946305,102.595559,102.940097,103.429357,102.748565,100.615649,97.405168,93.051235,88.564426,83.829868,79.088028,74.429559,69.803109,64.952997,60.707182,57.266943,54.499188,52.508677,50.480304,48.639971,46.985476,45.507649,44.189132,43.005875,41.932741,40.941519,40.002262,39.084982,38.159939,37.200814,36.185284,35.097178,33.928797,32.680904,31.358769,29.973029,28.538409,27.07283,25.59716,24.131443,22.694464,21.302681,19.969662,18.7057,17.517811,16.409987,15.383487,14.437213,13.568043,12.771401,12.041711,11.372703,10.7576,10.189396,9.661255,9.166853,8.700468,8.257039,7.832363,7.423061,7.026672,6.641526,6.266677,5.901767,5.546915,5.202528,4.869234,4.547807,4.239073,3.943892,3.662988,3.396937,3.146138,2.910774,2.690838,2.486118,2.296213,2.120581,1.958529,1.809272,1.671959,1.545693,1.429571,1.322706,1.224249,1.133381,1.049365,0.971527,0.899263,0.832047,0.769414,0.710969,0.656386,0.605377,0.557691,0.513141,0.471536,0.432735,0.396599,0.362998,0.331824,0.302954,0.276279,0.251683,0.22907,0.208308,0.189298,0.171911,0.156052,0.141591,0.128421,0.116466,0.105592,0.095721,0.086758,0.078627
80-89,80,89,29.252108,30.231973,30.980769,31.664904,32.422481,33.337249,34.461627,35.805076,37.412294,39.496829,41.808737,44.486714,47.321926,49.923163,52.562598,54.749946,56.836165,58.435545,58.386249,57.250652,55.774794,56.098626,59.712199,63.79728,66.896013,69.718462,71.781543,74.313739,77.898913,81.48484,84.568928,86.018441,85.64566,84.478281,82.671191,80.257362,77.614933,74.602572,71.782541,69.581928,68.012126,67.40905,66.833882,66.195606,66.476202,67.679222,69.692108,71.679792,73.271567,74.918088,75.329826,73.978254,72.240629,70.377901,68.168188,65.600561,62.707344,59.82935,57.105321,54.631005,52.742832,51.389069,50.325796,49.540702,49.038596,48.794471,48.816277,49.104327,49.596741,50.05013,50.427301,51.113559,51.836435,52.359135,52.613475,52.697661,52.901033,52.42873,51.131548,49.233333,46.692193,44.235003,41.739147,39.29411,36.934043,34.647146,32.355784,30.37089,28.75001,27.425716,26.416366,25.417824,24.515709,23.70766,22.987849,22.34606,21.768533,21.241534,20.750058,20.278643,19.812101,19.335333,18.835612,18.302675,17.729754,17.114398,16.458349,15.765821,15.043573,14.300197,13.545556,12.790424,12.044845,11.31789,10.617241,9.949062,9.317889,8.726641,8.176775,7.668442,7.200693,6.771638,6.378669,6.018725,5.68843,5.38423,5.102533,4.839889,4.593182,4.359645,4.136884,3.922953,3.716305,3.515849,3.320889,3.131075,2.946324,2.766778,2.592705,2.424471,2.262496,2.107208,1.95903,1.818299,1.685279,1.560124,1.442883,1.333518,1.231873,1.137712,1.050721,0.970519,0.896692,0.828792,0.766359,0.708923,0.656043,0.607291,0.562257,0.520583,0.481941,0.446037,0.412617,0.381448,0.352349,0.325169,0.299764,0.276016,0.253833,0.233124,0.213825,0.195861,0.179171,0.163698,0.149386,0.136172,0.124002,0.112818,0.102563
90-99,90,99,3.894912,4.142508,4.43249,4.738776,5.039509,5.344423,5.622358,5.869536,6.064013,6.249189,6.462337,6.640297,6.762503,6.884645,7.04707,7.27511,7.569279,7.92356,8.338281,8.891672,9.49256,10.165239,10.825794,11.358439,11.886057,12.252645,12.602218,12.807815,12.488387,11.921375,11.367383,11.570986,12.938361,14.331431,15.267487,15.982269,16.366395,16.837242,17.479653,18.010338,18.359416,18.386095,18.188678,17.81506,17.194123,16.425074,15.619559,14.845128,14.301802,14.022019,13.948668,14.126949,14.221217,14.189127,14.347848,14.711119,15.253379,15.700206,16.002548,16.347209,16.275955,15.670399,14.976414,14.29092,13.633901,13.006176,12.409113,11.870791,11.406326,11.080013,10.844547,10.625348,10.452791,10.342686,10.300456,10.311292,10.37525,10.495385,10.653627,10.789312,10.876764,11.037589,11.192305,11.270958,11.264993,11.217697,11.237382,11.045834,10.6102,10.018324,9.26366,8.64737,8.087528,7.58459,7.134736,6.731328,6.364766,6.046777,5.773994,5.537805,5.335933,5.149603,4.983642,4.836763,4.706977,4.591184,4.485472,4.386439,4.290606,4.19468,4.095612,3.990367,3.876817,3.753594,3.62025,3.477273,3.326025,3.168409,3.006684,2.843262,2.680558,2.520849,2.366027,2.217596,2.076683,1.94408,1.820286,1.705506,1.599689,1.502572,1.413718,1.332533,1.258298,1.190226,1.127511,1.069349,1.014987,0.963746,0.915051,0.868437,0.823528,0.780038,0.737756,0.696559,0.656392,0.617265,0.579222,0.542347,0.506733,0.472476,0.43968,0.408434,0.378811,0.350859,0.324612,0.30007,0.277219,0.256023,0.236414,0.218326,0.201672,0.186353,0.172276,0.159333,0.147431,0.136472,0.126357,0.117012,0.108356,0.100321,0.092845,0.085883,0.079386,0.073317,0.06764,0.062334,0.057369,0.052732,0.048408
