"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8325106202883","25.055369156976","24.7430170326241","24.4989500684623","25.3242771391184","22.6327796601751","21.974299640491","21.2006511216766","20.3868425939633","19.5295895913887","18.7055203039974","17.9321937468539","17.1672104262508","16.4185402097193","15.6475007177647","14.867627836534","14.1220052573426","13.3644962242497","12.7196773432839","11.959657964302","11.4003931169823","10.8226703824183","10.2471406378555","9.79208518658924","9.39346314166283","9.0383697772597","8.7178603511573","8.44559984852334","8.21225515327701","7.99893511734482","7.79677018653233","7.57907469350873",
"Afghanistan","AFG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","10.6","9.7","8.9","8.3","7.7","7.1","6.7","7.9","6.1","5.8","5.7","5.5","5.5","5.5","5.5","5.7","5.8","5.9","5.9","5.7","5.4","4.9","4.4","3.9","3.5","3.1","2.8","2.7","2.5","2.4","2.3",
"Africa Western and Central","AFW","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4314889890594","24.9331640232656","24.4354290210813","23.9169712440288","23.4584543997366","22.9600053936484","22.4880544750437","21.9966654110288","21.4693870673192","20.9486853416177","20.4454631637748","19.9277617564239","19.4039088937325","18.9111253308181","18.4181868884996","17.9193089532165","17.4698715155088","17.0388142565901","16.5625476117173","16.1488053917352","15.7486967351272","15.3938810361644","15.0250206409934","14.6881966399258","14.3712654510988","14.0693645130718","13.7200581096562","13.4092212998552","13.0927385853384","12.8115058974718","12.4682106146921","12.1131150016977",
"Angola","AGO","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8","32.5","38","32.6","32.5","32.4","32.1","31.7","31.2","30.5","29.7","28.8","27.7","26.5","25.2","23.8","22.4","20.9","19.5","18.2","16.9","15.7","14.7","13.7","12.9","12.2","11.7","11.2","10.7","10.3","9.9","9.5",
"Albania","ALB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","3.5","3.3","3.1","2.9","2.7","2.5","3.1","2.3","2.2","2.2","2.1","2","1.9","1.9","1.8","1.7","1.6","1.6","1.5","1.4","1.4","1.3","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.8",
"Andorra","AND","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.3","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3",
"Arab World","ARB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9435858113954","7.57422761430556","7.20862188883843","6.9296712571467","6.66908135179389","6.4363457965987","6.20581210896433","5.9728894659882","5.77066582210295","5.5674341374201","5.39844545838985","5.21370473731342","5.07905985681947","4.96132503300332","4.79540827228839","4.70329558138344","4.60386627850005","4.53367930404242","4.556750041543","4.32996809433308","4.35759003849485","4.24255518786918","4.38081417973851","4.39705433543979","4.3517155032633","4.11845024831947","3.92500576588733","3.47443545602814","3.43729793989634","3.31561833151072","3.17885067070519","3.15676480617702",
"United Arab Emirates","ARE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","1.7","1.6","1.5","1.5","1.4","1.4","1.4","1.3","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1","1","1","1","1","0.9","0.9","0.9","0.9","0.9","0.8","0.8",
"Argentina","ARG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.6","1.6","1.5","1.5","1.4","1.4","1.4","1.4","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.3","1.3","1.2","1.2","1.1","1.1","1","1","1","0.9","0.9","0.9","0.8","0.8","0.7","0.6",
"Armenia","ARM","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","1.7","1.5","1.4","1.3","1.2","1.2","1.1","1.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9",
"American Samoa","ASM","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","1.2","1.3","1.3","1.3","1.3","1.4","1.4","1.4","1.3","1.3","1.3","1.3","1.2","1.2","1.1","1.1","1.1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6",
"Australia","AUS","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3",
"Austria","AUT","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3",
"Azerbaijan","AZE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.5","4.1","3.7","3.7","3.7","3.6","3.4","3.3","3.1","3","2.9","2.8","2.6","2.5","2.4","2.2","2.1","2","1.9","1.8","1.7","1.7","1.6","1.6","1.6","1.6","1.6","1.6","1.5","1.5","1.5",
"Burundi","BDI","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.9","41.6","43","66.5","44.4","44.3","43.8","43.1","42.1","40.7","38.8","36.4","33.5","30.4","27.2","24.2","21.5","19.3","17.5","16.1","15.1","14.4","13.9","13.5","13.2","12.9","12.7","12.4","12.1","11.7","11.3","11",
"Belgium","BEL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3",
"Benin","BEN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","28.3","27.3","26.4","25.6","24.7","24","23.2","22.6","21.9","21.3","20.7","20.2","19.7","19.1","18.6","18.2","17.7","17.2","16.8","16.4","15.9","15.5","15.1","14.7","14.3","13.9","13.5","13.1","12.7","12.3","11.9",
