Age,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,351137,342796.0,336439.0,330568.0,325097.0,319853.0,315057.0,310705.0,306626.0,302934.0,299666.0,296643.0,293621.0,290315.0,286740.0,282941.0,279240.0,275437.0,271652.0,268102.0,264724.0,261365.0,257941.0,254513.0,251007.0,247300.0,243541.0,239823.0,235974.0,231892.0,227663.0,223256.0,218684.0,213856.0,209052.0,204535.0,200098.0,195816.0,191875.0,188048.0,184182.0,180419.0,176926.0,173835.0,171105.0,168685.0,166258.0,163906.0,161590.0,159291.0,157007.0,154732.0,152468.0,150200.0,147936.0,145675.0,143396.0,141106.0,138805.0,136508.0,134229.0,131978.0,129753.0,127556.0,125387.0,123246.0,121125.0,119029.0,116951.0,114903.0,112872.0,110877.0,108913.0,106971.0,105062.0,103188.0,101353.0,99562.0,97815.0,96120.0
1,353957,350224.0,341905.0,335564.0,329709.0,324252.0,319021.0,314238.0,309897.0,305829.0,302146.0,298887.0,295872.0,292858.0,289560.0,285994.0,282205.0,278514.0,274721.0,270946.0,267405.0,264036.0,260685.0,257270.0,253851.0,250354.0,246657.0,242908.0,239199.0,235360.0,231289.0,227071.0,222676.0,218115.0,213300.0,208508.0,204003.0,199578.0,195307.0,191376.0,187559.0,183703.0,179950.0,176466.0,173383.0,170660.0,168246.0,165826.0,163480.0,161170.0,158877.0,156599.0,154330.0,152072.0,149809.0,147551.0,145296.0,143023.0,140739.0,138444.0,136153.0,133880.0,131635.0,129416.0,127224.0,125061.0,122926.0,120810.0,118720.0,116647.0,114604.0,112579.0,110589.0,108630.0,106693.0,104789.0,102920.0,101089.0,99303.0,97561.0
2,374284,353913.0,350180.0,341862.0,335522.0,329668.0,324211.0,318981.0,314199.0,309858.0,305791.0,302108.0,298850.0,295835.0,292821.0,289524.0,285958.0,282170.0,278479.0,274687.0,270912.0,267371.0,264003.0,260652.0,257238.0,253819.0,250323.0,246626.0,242878.0,239169.0,235330.0,231260.0,227043.0,222648.0,218088.0,213273.0,208482.0,203977.0,199553.0,195283.0,191352.0,187535.0,183680.0,179927.0,176444.0,173361.0,170639.0,168225.0,165805.0,163460.0,161150.0,158857.0,156579.0,154311.0,152053.0,149790.0,147533.0,145278.0,143005.0,140721.0,138427.0,136136.0,133863.0,131618.0,129400.0,127208.0,125045.0,122911.0,120795.0,118705.0,116632.0,114590.0,112565.0,110575.0,108616.0,106680.0,104776.0,102907.0,101076.0,99291.0
3,396536,374237.0,353869.0,350136.0,341819.0,335480.0,329627.0,324170.0,318941.0,314160.0,309819.0,305753.0,302070.0,298813.0,295798.0,292784.0,289488.0,285922.0,282135.0,278444.0,274653.0,270878.0,267337.0,263970.0,260619.0,257206.0,253787.0,250292.0,246595.0,242848.0,239139.0,235301.0,231231.0,227015.0,222620.0,218061.0,213246.0,208456.0,203951.0,199528.0,195259.0,191328.0,187511.0,183657.0,179904.0,176422.0,173339.0,170618.0,168204.0,165784.0,163440.0,161130.0,158837.0,156559.0,154292.0,152034.0,149771.0,147515.0,145260.0,142987.0,140703.0,138410.0,136119.0,133846.0,131602.0,129384.0,127192.0,125029.0,122896.0,120780.0,118690.0,116617.0,114576.0,112551.0,110561.0,108602.0,106667.0,104763.0,102894.0,101063.0
4,421058,396486.0,374190.0,353825.0,350092.0,341776.0,335438.0,329586.0,324129.0,318901.0,314121.0,309780.0,305715.0,302032.0,298776.0,295761.0,292747.0,289452.0,285886.0,282100.0,278409.0,274619.0,270844.0,267303.0,263937.0,260586.0,257174.0,253755.0,250261.0,246564.0,242818.0,239109.0,235272.0,231202.0,226987.0,222592.0,218034.0,213219.0,208430.0,203925.0,199503.0,195235.0,191304.0,187487.0,183634.0,179881.0,176400.0,173317.0,170597.0,168183.0,165763.0,163420.0,161110.0,158817.0,156539.0,154273.0,152015.0,149752.0,147497.0,145242.0,142969.0,140685.0,138393.0,136102.0,133829.0,131586.0,129368.0,127176.0,125013.0,122881.0,120765.0,118675.0,116602.0,114562.0,112537.0,110547.0,108588.0,106654.0,104750.0,102881.0
5,438332,421005.0,396436.0,374143.0,353781.0,350048.0,341733.0,335396.0,329545.0,324088.0,318861.0,314082.0,309741.0,305677.0,301994.0,298739.0,295724.0,292710.0,289416.0,285850.0,282065.0,278374.0,274585.0,270810.0,267269.0,263904.0,260553.0,257142.0,253723.0,250230.0,246533.0,242788.0,239079.0,235243.0,231173.0,226959.0,222564.0,218007.0,213192.0,208404.0,203899.0,199478.0,195211.0,191280.0,187463.0,183611.0,179858.0,176378.0,173295.0,170576.0,168162.0,165742.0,163400.0,161090.0,158797.0,156519.0,154254.0,151996.0,149733.0,147479.0,145224.0,142951.0,140667.0,138376.0,136085.0,133812.0,131570.0,129352.0,127160.0,124997.0,122866.0,120750.0,118660.0,116587.0,114548.0,112523.0,110533.0,108574.0,106641.0,104737.0
6,447479,438306.0,420980.0,396412.0,374121.0,353760.0,350027.0,341712.0,335376.0,329525.0,324069.0,318842.0,314063.0,309722.0,305659.0,301976.0,298721.0,295706.0,292692.0,289399.0,285833.0,282048.0,278357.0,274569.0,270794.0,267253.0,263888.0,260537.0,257127.0,253708.0,250215.0,246518.0,242773.0,239065.0,235229.0,231159.0,226945.0,222551.0,217994.0,213179.0,208391.0,203887.0,199466.0,195199.0,191269.0,187452.0,183600.0,179847.0,176367.0,173285.0,170566.0,168152.0,165732.0,163390.0,161080.0,158787.0,156510.0,154245.0,151987.0,149724.0,147470.0,145215.0,142942.0,140659.0,138368.0,136077.0,133804.0,131562.0,129344.0,127152.0,124989.0,122859.0,120743.0,118653.0,116580.0,114541.0,112516.0,110526.0,108567.0,106635.0
7,448410,447452.0,438280.0,420955.0,396388.0,374099.0,353739.0,350006.0,341691.0,335356.0,329505.0,324050.0,318823.0,314044.0,309703.0,305641.0,301958.0,298703.0,295688.0,292674.0,289382.0,285816.0,282031.0,278340.0,274553.0,270778.0,267237.0,263872.0,260521.0,257112.0,253693.0,250200.0,246503.0,242758.0,239051.0,235215.0,231145.0,226931.0,222538.0,217981.0,213166.0,208378.0,203875.0,199454.0,195187.0,191258.0,187441.0,183589.0,179836.0,176356.0,173275.0,170556.0,168142.0,165722.0,163380.0,161070.0,158777.0,156501.0,154236.0,151978.0,149715.0,147461.0,145206.0,142933.0,140651.0,138360.0,136069.0,133796.0,131554.0,129336.0,127144.0,124981.0,122852.0,120736.0,118646.0,116573.0,114534.0,112509.0,110519.0,108560.0
8,457902,448383.0,447425.0,438254.0,420930.0,396364.0,374077.0,353718.0,349985.0,341670.0,335336.0,329485.0,324031.0,318804.0,314025.0,309684.0,305623.0,301940.0,298685.0,295670.0,292656.0,289365.0,285799.0,282014.0,278323.0,274537.0,270762.0,267221.0,263856.0,260505.0,257097.0,253678.0,250185.0,246488.0,242743.0,239037.0,235201.0,231131.0,226917.0,222525.0,217968.0,213153.0,208365.0,203863.0,199442.0,195175.0,191247.0,187430.0,183578.0,179825.0,176345.0,173265.0,170546.0,168132.0,165712.0,163370.0,161060.0,158767.0,156492.0,154227.0,151969.0,149706.0,147452.0,145197.0,142924.0,140643.0,138352.0,136061.0,133788.0,131546.0,129328.0,127136.0,124974.0,122845.0,120729.0,118639.0,116566.0,114527.0,112502.0,110512.0
9,478488,457875.0,448356.0,447398.0,438228.0,420905.0,396340.0,374055.0,353697.0,349964.0,341649.0,335316.0,329465.0,324012.0,318785.0,314006.0,309665.0,305605.0,301922.0,298667.0,295652.0,292638.0,289348.0,285782.0,281997.0,278306.0,274521.0,270746.0,267205.0,263840.0,260489.0,257082.0,253663.0,250170.0,246473.0,242728.0,239023.0,235187.0,231117.0,226903.0,222512.0,217955.0,213140.0,208352.0,203851.0,199430.0,195163.0,191236.0,187419.0,183567.0,179814.0,176334.0,173255.0,170536.0,168122.0,165702.0,163360.0,161050.0,158757.0,156483.0,154218.0,151960.0,149697.0,147443.0,145188.0,142915.0,140635.0,138344.0,136053.0,133780.0,131538.0,129320.0,127128.0,124967.0,122838.0,120722.0,118632.0,116559.0,114520.0,112495.0
