bins,low_val,high_val,bin_values_2021,bin_values_2022,bin_values_2023,bin_values_2024,bin_values_2025,bin_values_2026,bin_values_2027,bin_values_2028,bin_values_2029,bin_values_2030,bin_values_2031,bin_values_2032,bin_values_2033,bin_values_2034,bin_values_2035,bin_values_2036,bin_values_2037,bin_values_2038,bin_values_2039,bin_values_2040,bin_values_2041,bin_values_2042,bin_values_2043,bin_values_2044,bin_values_2045,bin_values_2046,bin_values_2047,bin_values_2048,bin_values_2049,bin_values_2050,bin_values_2051,bin_values_2052,bin_values_2053,bin_values_2054,bin_values_2055,bin_values_2056,bin_values_2057,bin_values_2058,bin_values_2059,bin_values_2060,bin_values_2061,bin_values_2062,bin_values_2063,bin_values_2064,bin_values_2065,bin_values_2066,bin_values_2067,bin_values_2068,bin_values_2069,bin_values_2070,bin_values_2071,bin_values_2072,bin_values_2073,bin_values_2074,bin_values_2075,bin_values_2076,bin_values_2077,bin_values_2078,bin_values_2079,bin_values_2080,bin_values_2081,bin_values_2082,bin_values_2083,bin_values_2084,bin_values_2085,bin_values_2086,bin_values_2087,bin_values_2088,bin_values_2089,bin_values_2090,bin_values_2091,bin_values_2092,bin_values_2093,bin_values_2094,bin_values_2095,bin_values_2096,bin_values_2097,bin_values_2098,bin_values_2099
0-9,0,9,165.297938,159.259314,152.928991,146.806237,141.031985,135.403318,129.211839,124.30663,121.203576,119.649305,119.910583,119.247102,118.498939,117.611806,116.553097,115.287809,113.836851,112.297438,110.677986,108.982344,107.251574,105.529688,103.848136,102.245035,100.759983,99.436977,98.272921,97.190509,96.165344,95.176702,94.204051,93.226058,92.220242,91.166284,90.047672,88.866047,87.62198,86.293362,84.875394,83.377641,81.816011,80.203414,78.540403,76.865722,75.226823,73.658796,72.198025,70.8409,69.5924,68.447061,67.396247,66.435438,65.574306,64.78499,64.029292,63.274397,62.482607,61.671436,60.841555,59.995527,59.137575,58.273337,57.408805,56.547932,55.694595,54.852489,54.024283,53.211683,52.415969,51.637064,50.873304,50.121457,49.377559,48.639572,47.905974,47.175704,46.448203,45.723451,45.002016
10-19,10,19,166.138223,168.642007,171.444112,173.870347,175.643748,176.956191,178.416107,178.053736,175.396541,171.026644,164.854254,158.826849,152.511183,146.40137,140.638791,135.021618,128.843761,123.949764,120.854073,119.303747,119.565039,118.903836,118.158301,117.274327,116.219414,114.958732,113.512822,111.978151,110.363402,108.672453,106.946316,105.22894,103.551746,101.952787,100.471596,99.152139,97.991293,96.911879,95.889601,94.903804,93.934028,92.958998,91.956301,90.905661,89.790597,88.612702,87.372513,86.048047,84.634475,83.141275,81.584301,79.976448,78.318351,76.648453,75.014018,73.450074,71.99288,70.639162,69.393831,68.25147,67.203466,66.245312,65.386637,64.599636,63.846197,63.093575,62.304145,61.495393,60.667975,59.824443,58.969001,58.107261,57.245198,56.386768,55.535842,54.696108,53.87024,53.059938,52.266483
20-29,20,29,174.028867,169.339516,165.761459,163.063218,161.204755,160.190801,160.101441,160.936452,162.518535,163.956933,165.342277,167.836498,170.625778,173.038627,174.799718,176.100788,177.550198,177.183393,174.529509,170.167782,164.007707,158.00021,151.709321,145.62554,139.890414,134.305814,128.176149,123.324314,120.256752,118.720586,118.975874,118.317482,117.57492,116.694491,115.643834,114.388134,112.94783,111.419153,109.811001,108.12751,106.409516,104.700783,103.032633,101.442789,99.970328,98.658502,97.503992,96.430354,95.413447,94.432714,93.467776,92.497466,91.499493,90.453702,89.343703,88.171056,86.936322,85.617678,84.210366,82.723874,81.174026,79.573674,77.923409,76.261531,74.63515,73.079185,71.629809,70.28359,69.045344,67.909637,66.867825,65.91531,65.06141,64.278453,63.528616,62.77945,61.993742,61.188805,60.365305
30-39,30,39,229.977166,228.241109,225.767328,223.298385,219.194405,213.107756,204.922603,196.196088,187.385499,178.034555,170.675552,166.086319,162.584584,159.945974,158.132025,157.146688,157.06814,157.895981,159.455684,160.873741,162.236006,164.685562,167.422242,169.785211,171.505085,172.772164,174.18899,173.816165,171.190956,166.884793,160.808065,154.901376,148.728719,142.767711,137.154306,131.693171,125.703638,120.964148,117.967591,116.466116,116.711631,116.064933,115.335259,114.469979,113.437301,112.202908,110.787088,109.285049,107.705883,106.053874,104.36898,102.6939,101.059151,99.501504,98.059013,96.773616,95.6419,94.589283,93.592127,92.630258,91.683662,90.731552,89.752064,88.725444,87.635654,86.484256,85.2719,83.9772,82.595549,81.136347,79.615195,78.044718,76.425402,74.794973,73.199807,71.674271,70.25397,68.935129,67.722217
40-49,40,49,204.141894,200.664941,197.493757,194.653893,194.72608,197.695126,203.267446,209.573421,215.131948,220.655486,223.393041,221.689403,219.264466,216.84026,212.832942,206.907711,198.954219,190.480357,181.929835,172.866329,165.735777,161.285131,157.889034,155.331329,153.575199,152.623739,152.55249,153.361197,154.880157,156.261756,157.587418,159.96839,162.62677,164.91967,166.585827,167.811261,169.184424,168.815266,166.253891,162.056725,156.136139,150.391556,144.394332,138.606581,133.159526,127.863912,122.061447,117.471681,114.570166,113.115949,113.351079,112.72253,112.013156,111.171908,110.167878,108.967627,107.590956,106.130733,104.596005,102.991095,101.354773,99.728433,98.141649,96.629995,95.230228,93.982755,92.884133,91.862193,90.894004,89.959972,89.040636,88.115808,87.164258,86.166804,85.1079,83.989066,82.810977,81.55289,80.210364
50-59,50,59,228.61341,236.146426,236.465049,234.290783,231.296732,226.938393,222.356837,216.04212,208.754424,202.140781,196.552541,193.224958,190.18976,187.468671,187.549956,190.419428,195.79428,201.86848,207.219246,212.538526,215.166319,213.508716,211.151868,208.791943,204.912154,199.192789,191.529635,183.370574,175.142494,166.431761,159.580899,155.301089,152.035239,149.576891,147.891109,146.980149,146.916393,147.69972,149.166516,150.501223,151.780367,154.075146,156.635675,158.841802,160.442276,161.617403,162.937017,162.574695,160.096714,156.040332,150.320587,144.780829,139.003245,133.431162,128.190161,123.098417,117.524651,113.11741,110.331641,108.93508,109.158321,108.552571,107.868752,107.057769,106.089832,104.932626,103.605319,102.197729,100.718776,99.172779,97.597042,96.031352,94.504122,93.049479,91.702639,90.502183,89.444691,88.460904,87.528773
60-69,60,69,144.414738,145.339093,152.057481,160.056144,166.396846,172.747898,177.836421,184.254037,194.374981,205.891941,217.327145,224.288957,224.562968,222.51725,219.650948,215.467508,211.013934,204.925337,197.971867,191.69502,186.424834,183.318621,180.50803,178.005323,178.156028,180.941393,186.085565,191.852806,196.917367,201.960281,204.43669,202.851198,200.572147,198.233853,194.447663,188.930994,181.608341,173.830221,166.010456,157.820772,151.403404,147.36875,144.286942,141.971784,140.394334,139.553303,139.512577,140.270598,141.672114,142.958702,144.194075,146.384748,148.820541,150.911528,152.420494,153.519371,154.758242,154.392784,152.009893,148.114566,142.617061,137.320087,131.813397,126.505878,121.514956,116.681747,111.448398,107.33486,104.74713,103.455383,103.645755,103.069178,102.417374,101.644391,100.722081,99.619299,98.353979,97.011892,95.602442
70-79,70,79,80.093239,85.219694,90.803874,96.158508,101.667248,106.479165,111.13155,114.969715,116.006295,114.936798,113.00628,113.752313,119.924821,127.174397,132.932994,138.503023,142.855173,148.158029,155.980389,164.424353,172.416787,177.005471,177.012537,175.262612,172.548967,168.674945,164.446813,159.140203,153.606145,148.93203,145.293317,143.514359,141.922648,140.421032,140.921994,143.429337,147.7329,152.312847,156.238106,160.213469,161.914679,160.154183,157.671677,155.002453,151.337477,146.552826,140.661652,134.591087,128.64912,122.772838,118.236124,115.266307,112.994767,111.327715,110.258453,109.764448,109.885547,110.625559,111.857539,113.008399,114.065926,115.846994,117.77622,119.359925,120.421132,121.128354,122.00908,121.509774,119.285615,115.768828,110.87123,106.439542,102.016245,97.878348,94.098115,90.56338,86.911055,84.092869,82.330182
80-89,80,89,29.252108,30.307746,31.136261,31.903589,32.748748,33.757114,34.983111,36.437983,38.169033,40.396726,42.868474,45.728655,48.76493,51.574423,54.437251,56.844724,59.15866,60.975832,61.077087,60.03925,58.638099,59.126374,63.092712,67.578006,71.037977,74.220729,76.608563,79.509814,83.554554,87.619873,91.164075,92.959026,92.788131,91.75278,90.015118,87.605872,84.93383,81.842015,78.945696,76.717277,75.174439,74.69459,74.242863,73.718123,74.216151,75.748612,78.196985,80.628807,82.625879,84.694343,85.373244,84.051603,82.283078,80.362312,78.034192,75.283162,72.143271,69.004721,66.028006,63.325392,61.289939,59.866465,58.774727,58.002831,57.558861,57.415856,57.58548,58.070451,58.799776,59.486013,60.084501,61.054819,62.073477,62.856546,63.32018,63.580447,63.985775,63.573449,62.155917
90-99,90,99,3.894912,4.152896,4.454741,4.774501,5.090223,5.411738,5.707441,5.973294,6.186677,6.391577,6.626147,6.825682,6.968724,7.112371,7.298413,7.553468,7.878589,8.268019,8.722575,9.324777,9.979884,10.713881,11.438683,12.031557,12.622002,13.043895,13.449666,13.703346,13.395071,12.818941,12.253877,12.504618,14.017368,15.56553,16.623749,17.445642,17.90971,18.471136,19.223948,19.85723,20.292841,20.373263,20.205019,19.839584,19.196072,18.383439,17.525701,16.698505,16.127667,15.851792,15.808387,16.050563,16.198163,16.202118,16.424422,16.882474,17.548644,18.107976,18.502944,18.948829,18.913522,18.255473,17.49073,16.731979,16.00274,15.304211,14.638253,14.038322,13.522857,13.168919,12.921364,12.691919,12.517092,12.416283,12.396576,12.44072,12.549257,12.726381,12.950638
